,type,id,key,value,action,details,url
112,node,4340934045,wikidata,Q17483373,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/4340934045
113,node,4456947592,wikidata,Q11918003,add_wikidata_label,fr,https://www.openstreetmap.org/node/4456947592
114,node,4516461789,wikidata,Q332800,add_wikidata_label,"ar,be,cs,da,es,fa,fi,fr,he,hr,hu,hy,it,ja,ka,lb,lt,mk,nb,nl,pl,pt,ro,ru,sh,sk,sr,sv,tr,uk,vi,zh,mt,gl,bs",https://www.openstreetmap.org/node/4516461789
115,node,5029336341,wikidata,Q2209719,add_wikidata_label,"ca,cs,en,es,fr,ja,nb,nn,pl,sk",https://www.openstreetmap.org/node/5029336341
116,node,5107912842,wikidata,Q17481918,add_wikidata_label,nl,https://www.openstreetmap.org/node/5107912842
117,node,5167171642,wikidata,Q2664716,add_wikidata_label,ja,https://www.openstreetmap.org/node/5167171642
118,node,5288596727,wikidata,Q111877839,add_wikidata_label,en,https://www.openstreetmap.org/node/5288596727
119,node,5734220131,wikidata,Q61999043,add_wikidata_label,"an,en,he",https://www.openstreetmap.org/node/5734220131
120,node,5736767209,wikidata,Q3931665,add_wikidata_label,"fr,it",https://www.openstreetmap.org/node/5736767209
121,node,5754611982,wikidata,Q111877837,add_wikidata_label,en,https://www.openstreetmap.org/node/5754611982
122,node,6000108815,wikidata,Q111877822,add_wikidata_label,en,https://www.openstreetmap.org/node/6000108815
123,node,6398371961,wikidata,Q5911880,add_wikidata_label,"ca,de,en,es,eu,fr,it,nl,pt",https://www.openstreetmap.org/node/6398371961
124,node,7091170367,wikidata,Q36374033,add_wikidata_label,"ru,ca,de,en,es,fr,pt",https://www.openstreetmap.org/node/7091170367
125,node,8963774805,wikidata,Q27048709,add_wikidata_label,"es,fr",https://www.openstreetmap.org/node/8963774805
126,node,8963780177,wikidata,Q20106734,add_wikidata_label,"ca,en,es,fr,de",https://www.openstreetmap.org/node/8963780177
127,node,8963872983,wikidata,Q5911250,add_wikidata_label,"ca,en,es,fr,tr",https://www.openstreetmap.org/node/8963872983
128,node,9202662723,wikidata,Q26234568,add_wikidata_label,"ca,en,fr",https://www.openstreetmap.org/node/9202662723
129,node,9516682362,wikidata,Q21330343,add_wikidata_label,sv,https://www.openstreetmap.org/node/9516682362
130,way,6176755,wikidata,Q3379232,add_wikidata_label,"an,de,en,es,fr,it,nb,nl,zh",https://www.openstreetmap.org/way/6176755
131,way,6242756,wikidata,Q56403714,add_wikidata_label,fr,https://www.openstreetmap.org/way/6242756
132,way,6275507,wikidata,Q7136369,add_wikidata_label,"en,es",https://www.openstreetmap.org/way/6275507
133,way,6576853,wikidata,Q7228014,add_wikidata_label,"ca,en,fr,nl,tr",https://www.openstreetmap.org/way/6576853
134,way,24364447,wikidata,Q6154716,add_wikidata_label,"es,fr",https://www.openstreetmap.org/way/24364447
135,way,54858984,wikidata,Q5596036,add_wikidata_label,"ca,en",https://www.openstreetmap.org/way/54858984
136,way,104330539,wikidata,Q21330259,add_wikidata_label,"en,es,gl,sv",https://www.openstreetmap.org/way/104330539
137,way,124673943,wikidata,Q9090913,add_wikidata_label,"de,en,fr,nl",https://www.openstreetmap.org/way/124673943
138,way,124673953,wikidata,Q9090913,add_wikidata_label,"de,en,fr,nl",https://www.openstreetmap.org/way/124673953
139,way,127125424,wikidata,Q3931662,add_wikidata_label,"fr,it",https://www.openstreetmap.org/way/127125424
140,way,127286117,wikidata,Q21328903,add_wikidata_label,"en,fr",https://www.openstreetmap.org/way/127286117
141,way,127286124,wikidata,Q2781227,add_wikidata_label,"de,fr,nl,sv",https://www.openstreetmap.org/way/127286124
142,way,173168838,wikidata,Q56403714,add_wikidata_label,fr,https://www.openstreetmap.org/way/173168838
143,way,174919418,wikidata,Q18125598,add_wikidata_label,"kk,bs,es,fa,he,ja,pt,ru,sw,tr,vi,zh,ko,ar",https://www.openstreetmap.org/way/174919418
144,way,181444270,wikidata,Q21330278,add_wikidata_label,"fr,sv",https://www.openstreetmap.org/way/181444270
145,way,190239291,wikidata,Q3931666,add_wikidata_label,it,https://www.openstreetmap.org/way/190239291
146,way,191582654,wikidata,Q27043086,add_wikidata_label,"en,es,fr",https://www.openstreetmap.org/way/191582654
147,way,191582655,wikidata,Q63789,add_wikidata_label,"nl,en,cs,eu,pl,sv,tr",https://www.openstreetmap.org/way/191582655
148,way,194554955,wikidata,Q47993296,add_wikidata_label,"de,vi,he",https://www.openstreetmap.org/way/194554955
149,way,202594793,wikidata,Q3819483,add_wikidata_label,"de,en,es,eu,ru,tr,fr",https://www.openstreetmap.org/way/202594793
150,way,202595158,wikidata,Q11935312,add_wikidata_label,"ca,en,es,nl,fr",https://www.openstreetmap.org/way/202595158
151,way,202595653,wikidata,Q63787,add_wikidata_label,"en,es,tr,fr",https://www.openstreetmap.org/way/202595653
152,way,202595952,wikidata,Q15081889,add_wikidata_label,"nl,es,ca,de,en,fr",https://www.openstreetmap.org/way/202595952
153,way,202596424,wikidata,Q17485576,add_wikidata_label,"ca,fr",https://www.openstreetmap.org/way/202596424
154,way,202604477,wikidata,Q11251566,add_wikidata_label,"ca,en,es,tr,fr",https://www.openstreetmap.org/way/202604477
155,way,202606880,wikidata,Q5397737,add_wikidata_label,"en,tr,fr",https://www.openstreetmap.org/way/202606880
156,way,202608372,wikidata,Q4895696,add_wikidata_label,"eu,ca,de,en,es,fr,nl,tr",https://www.openstreetmap.org/way/202608372
157,way,202612771,wikidata,Q3780675,add_wikidata_label,"nl,en,eo,es,eu,pt,tr,zh,fr",https://www.openstreetmap.org/way/202612771
158,way,202614660,wikidata,Q2124368,add_wikidata_label,"es,fr",https://www.openstreetmap.org/way/202614660
159,way,202614956,wikidata,Q3775060,add_wikidata_label,"nl,es,en,eu,tr,fr",https://www.openstreetmap.org/way/202614956
160,way,202616749,wikidata,Q5397724,add_wikidata_label,"nl,es,en,tr,fr",https://www.openstreetmap.org/way/202616749
161,way,202616750,wikidata,Q2874750,add_wikidata_label,"nl,ca,da,de,en,tr,es,fr",https://www.openstreetmap.org/way/202616750
162,way,202616752,wikidata,Q5397726,add_wikidata_label,"es,en,tr,fr",https://www.openstreetmap.org/way/202616752
163,way,202617257,wikidata,Q5047802,add_wikidata_label,"en,fr,nl,tr",https://www.openstreetmap.org/way/202617257
164,way,202617439,wikidata,Q3819319,add_wikidata_label,"es,de,en,nl,tr,fr",https://www.openstreetmap.org/way/202617439
165,way,202617451,wikidata,Q17651611,add_wikidata_label,"es,en,tr,fr",https://www.openstreetmap.org/way/202617451
166,way,202617506,wikidata,Q11947521,add_wikidata_label,"de,en,es,fr",https://www.openstreetmap.org/way/202617506
167,way,202618668,wikidata,Q18007335,add_wikidata_label,"es,fr",https://www.openstreetmap.org/way/202618668
168,way,202634290,wikidata,Q20968895,add_wikidata_label,en,https://www.openstreetmap.org/way/202634290
169,way,202634375,wikidata,Q3781320,add_wikidata_label,"da,en,es,nl,fr",https://www.openstreetmap.org/way/202634375
170,way,202635437,wikidata,Q1024946,add_wikidata_label,"cs,da,fi,nb,de,es,eu,it,ja,nl,pt,ru,sv,vi,he",https://www.openstreetmap.org/way/202635437
171,way,202636510,wikidata,Q5397740,add_wikidata_label,"en,tr,fr",https://www.openstreetmap.org/way/202636510
172,way,202636511,wikidata,Q5397722,add_wikidata_label,"es,en,tr,fr",https://www.openstreetmap.org/way/202636511
173,way,202638053,wikidata,Q2912621,add_wikidata_label,"de,en,es,tr,fr",https://www.openstreetmap.org/way/202638053
174,way,202638054,wikidata,Q2912535,add_wikidata_label,de,https://www.openstreetmap.org/way/202638054
175,way,202640608,wikidata,Q21077406,add_wikidata_label,"eu,fr",https://www.openstreetmap.org/way/202640608
176,way,202640609,wikidata,Q5397746,add_wikidata_label,"en,tr,fr",https://www.openstreetmap.org/way/202640609
177,way,202641565,wikidata,Q3819245,add_wikidata_label,"de,es,eu,nl,fr",https://www.openstreetmap.org/way/202641565
178,way,203038860,wikidata,Q11947716,add_wikidata_label,"es,fr",https://www.openstreetmap.org/way/203038860
179,way,206379041,wikidata,Q3931665,add_wikidata_label,"ca,en,fr,it",https://www.openstreetmap.org/way/206379041
180,way,208401245,wikidata,Q3931655,add_wikidata_label,"fr,it",https://www.openstreetmap.org/way/208401245
181,way,208585095,wikidata,Q24853,add_wikidata_label,"ar,br,cs,cv,de,en,eu,fi,fr,gl,he,id,it,ja,lt,mk,nb,nl,nn,oc,pl,pt,ro,sk,sl,sr,sv,uk,vi,zh,lv",https://www.openstreetmap.org/way/208585095
182,way,208585106,wikidata,Q3137862,add_wikidata_label,"es,fa,it",https://www.openstreetmap.org/way/208585106
183,way,208595135,wikidata,Q28710886,add_wikidata_label,"en,fr",https://www.openstreetmap.org/way/208595135
184,way,208669601,wikidata,Q21332181,add_wikidata_label,"ca,en,fr,sv",https://www.openstreetmap.org/way/208669601
185,way,208669602,wikidata,Q21332181,add_wikidata_label,"ca,en,fr,sv",https://www.openstreetmap.org/way/208669602
186,way,208669630,wikidata,Q2793742,add_wikidata_label,"ca,nl,sv",https://www.openstreetmap.org/way/208669630
187,way,210428162,wikidata,Q24625,add_wikidata_label,"ca,de,en,es,fa,fi,fr,it,nl,oc,pl,sq",https://www.openstreetmap.org/way/210428162
188,way,210428163,wikidata,Q24668,add_wikidata_label,"ca,de,en,es,fa,fi,fr,hy,it,nl,oc,pl,rm,ru,sq,vo,uz",https://www.openstreetmap.org/way/210428163
189,way,210428164,wikidata,Q24650,add_wikidata_label,"ca,de,en,es,fa,fi,fr,it,nl,oc,sq,vo",https://www.openstreetmap.org/way/210428164
190,way,219556004,wikidata,Q9054498,add_wikidata_label,"en,es",https://www.openstreetmap.org/way/219556004
191,way,231384369,wikidata,Q21055525,add_wikidata_label,"ca,en,fr,nl",https://www.openstreetmap.org/way/231384369
192,way,233909027,wikidata,Q3588222,add_wikidata_label,"en,fr",https://www.openstreetmap.org/way/233909027
193,way,270902310,wikidata,Q648838,add_wikidata_label,"ar,az,de,el,es,fi,fr,it,la,mk,ru,sh,tl,uk,zh,id,eo,ko",https://www.openstreetmap.org/way/270902310
194,way,273906962,wikidata,Q7228015,add_wikidata_label,"en,es,fr,nl,tr",https://www.openstreetmap.org/way/273906962
195,way,275123436,wikidata,Q97489558,add_wikidata_label,"ca,en,nl",https://www.openstreetmap.org/way/275123436
196,way,293127711,wikidata,Q2203417,add_wikidata_label,"nl,fr",https://www.openstreetmap.org/way/293127711
197,way,298161509,wikidata,Q111412175,add_wikidata_label,en,https://www.openstreetmap.org/way/298161509
198,way,319998086,parking:lane:right,parallel,update_deprecated_tag,parking:right=parallel,https://www.openstreetmap.org/way/319998086
199,way,334463613,wikidata,Q546027,add_wikidata_label,"fr,ar,bg,de,es,fa,hu,it,ja,pt,ru,sr,uk,zh,ko",https://www.openstreetmap.org/way/334463613
200,way,334464445,wikidata,Q7209730,add_wikidata_label,"an,ar,de,es,pl,eu,nl",https://www.openstreetmap.org/way/334464445
201,way,351920542,wikidata,Q3931660,add_wikidata_label,fr,https://www.openstreetmap.org/way/351920542
202,way,352338250,wikidata,Q5596036,add_wikidata_label,"ca,en",https://www.openstreetmap.org/way/352338250
203,way,358047858,wikidata,Q18006186,add_wikidata_label,fr,https://www.openstreetmap.org/way/358047858
204,way,358129350,wikidata,Q3931670,add_wikidata_label,"ca,it",https://www.openstreetmap.org/way/358129350
205,way,358317385,wikidata,Q11945090,add_wikidata_label,"ca,en,fr",https://www.openstreetmap.org/way/358317385
206,way,361846817,wikidata,Q18005708,add_wikidata_label,en,https://www.openstreetmap.org/way/361846817
207,way,368472454,wikidata,Q24411,add_wikidata_label,fa,https://www.openstreetmap.org/way/368472454
208,way,368480225,wikidata,Q3931658,add_wikidata_label,"fr,it",https://www.openstreetmap.org/way/368480225
209,way,369430362,wikidata,Q21330406,add_wikidata_label,sv,https://www.openstreetmap.org/way/369430362
210,way,371164435,wikidata,Q11938462,add_wikidata_label,"en,de,ca",https://www.openstreetmap.org/way/371164435
211,way,371478742,wikidata,Q21329397,add_wikidata_label,"fr,sv",https://www.openstreetmap.org/way/371478742
212,way,371478743,wikidata,Q2009270,add_wikidata_label,"ca,en,fr,it",https://www.openstreetmap.org/way/371478743
213,way,381186674,wikidata,Q3931667,add_wikidata_label,"fr,it",https://www.openstreetmap.org/way/381186674
214,way,382248559,wikidata,Q517092,add_wikidata_label,it,https://www.openstreetmap.org/way/382248559
215,way,385225383,wikidata,Q11945091,add_wikidata_label,"ca,en,fr",https://www.openstreetmap.org/way/385225383
216,way,385383500,wikidata,Q5397738,add_wikidata_label,"es,en,nl,tr,fr",https://www.openstreetmap.org/way/385383500
217,way,391178816,wikidata,Q17615770,add_wikidata_label,ca,https://www.openstreetmap.org/way/391178816
218,way,391568717,wikidata,Q3931657,add_wikidata_label,"ca,it,fr",https://www.openstreetmap.org/way/391568717
219,way,392027294,wikidata,Q21330461,add_wikidata_label,sv,https://www.openstreetmap.org/way/392027294
220,way,392063295,wikidata,Q3931661,add_wikidata_label,"it,fr",https://www.openstreetmap.org/way/392063295
221,way,392137331,wikidata,Q11945088,add_wikidata_label,fr,https://www.openstreetmap.org/way/392137331
222,way,392397186,wikidata,Q20106858,add_wikidata_label,"en,fr",https://www.openstreetmap.org/way/392397186
223,way,392401926,landuse,reservoir,update_deprecated_tag,natural=water + water=reservoir,https://www.openstreetmap.org/way/392401926
224,way,398297653,wikidata,Q15278929,add_wikidata_label,"en,fr",https://www.openstreetmap.org/way/398297653
225,way,398297654,wikidata,Q111412180,add_wikidata_label,en,https://www.openstreetmap.org/way/398297654
226,way,419184137,wikidata,Q5397739,add_wikidata_label,"en,tr,fr",https://www.openstreetmap.org/way/419184137
227,way,419184179,wikidata,Q111877858,add_wikidata_label,en,https://www.openstreetmap.org/way/419184179
228,way,423318131,landuse,reservoir,update_deprecated_tag,natural=water + water=reservoir,https://www.openstreetmap.org/way/423318131
229,way,432400670,wikidata,Q3649138,add_wikidata_label,it,https://www.openstreetmap.org/way/432400670
230,way,512798902,wikidata,Q15934247,add_wikidata_label,"en,es,fr",https://www.openstreetmap.org/way/512798902
231,way,512803159,wikidata,Q1046548,add_wikidata_label,"eu,fi,fr,gl,it,ja,nb,nl,pl,pt,ru,sl,tr,zh,cs,sk,he,de,en,eo",https://www.openstreetmap.org/way/512803159
232,way,512803160,wikidata,Q1046548,add_wikidata_label,"ja,pt,ru,zh,he",https://www.openstreetmap.org/way/512803160
233,way,517836384,wikidata,Q15920474,add_wikidata_label,"ca,de,fr,nl,es",https://www.openstreetmap.org/way/517836384
